cname,cname_en,offer_by,category,credit,最後一次開課學期（e.g. 114-1）,active
大眾傳播理論,Mass Communication Theory,林麗雲、蔡蕙如,必修,3,113-1,
新聞法律與倫理,Media Law and Ethics,洪貞玲、蘇慧婕,必修,3,113-1,
採訪寫作一,Reporting and Writing (Ⅰ),林照真、李雪莉,必選修-實務,3,113-1,
影像報導一,Television News Reporting (Ⅰ),詹怡宜,必選修-實務,3,113-1,
新聞編輯與資訊設計,News Editing and Information Design,李彥甫,必選修-實務,3,113-2,
採訪寫作二,Reporting and Writing (Ⅱ),劉力仁、梁玉芳、李志德、蕭富元,必選修-實務,3,113-2,
影像報導二,Television News Reporting (Ⅱ),詹怡宜、鄭凱駿,必選修-實務,3,113-2,
傳播研究方法,Communication Research Methods,劉好迪,必選修-方法,3,113-2,
質化研究方法,Qualitative Research,林麗雲,必選修-方法,3,113-1,
資訊傳播政策專題,Seminar in Information and Communications Policy ,洪貞玲,理論/方法,3,104-2,
媒介社會學專題,Seminar in Media Sociology ,蔡蕙如,理論/方法,3,112-1,
傳播政治經濟學,Political Economy of Communication ,洪貞玲,理論/方法,3,109-2,
媒介心理學與實務,Media Psychology and Practice,王泰俐,理論/方法,3,113-1,
社群媒介輿論分析,Social Media and Public Opinion Analysis ,謝吉隆,理論/方法,3,112-2,
社群媒體與社會網絡分析,Social Media and Social Network Analysis,劉好迪,理論/方法,3,113-2,
網路時代的政治傳播,Political Communication in the Internet Age,劉好迪,理論/方法,3,113-1,
數位新聞學研究,Digital Journalism Studies ,林照真,理論/方法,3,112-2,
傳播與文化研究專題,Seminar on Cultural Studies and Communication,蔡蕙如,理論/方法,3,113-2,
視覺文化與傳播,Visual Culture and Communication,蔡蕙如,理論/方法,3,113-1,
新聞產業創新,News Industry Innovations,陳順孝,媒體公民意識,3,113-1,
公民新聞專題,Seminar on Citizen Journalism ,洪貞玲,媒體公民意識,3,103-1,
新聞與政治,Journalism and Politics,王泰俐,媒體公民意識,3,111-1,
多元文化論與傳播研究,Multicultrualism and Masscom Research,張錦華,媒體公民意識,3,113-2,
公共傳播專題,INFORMATION CAMPAIGNS ,谷玲玲,媒體公民意識,3,98-1,unable
全球化與傳播,Globalization and Communication,洪貞玲,國際視野,3,113-2,
科技社會與傳播研究,Science and Technology for Communication Studies,蔡蕙如,國際視野,3,113-2,
網絡新聞學,Networked Journalism ,劉好迪,國際視野,3,106-2 ,
資訊科技與資訊社會,Information Technologies and Information Sociologies ,蔡蕙如,國際視野,3,112-2 ,unable
東亞新聞專題,Seminar on East Asia News ,郭崇倫,國際視野,3,112-1,unable
兩岸三地新聞專題,Seminar on Journalism of Greater China Region,張潔平,國際視野,3,111-2,unable
國際政治與兩岸關係專題,Seminar on International Politics and Cross-strait Relations ,明居正,國際視野,3,106-2,unable
新聞資訊視覺化,Visual Journalism,林照真,數位知能,3,113-1,
網頁設計與敘事,Web Design for Storytelling,謝吉隆,數位知能,3,113-1,
新聞資料處理與視覺呈現,Journalism Processing and Visualization,謝吉隆,數位知能,3,113-2,
社會科學程式設計,Programming for Social Science,謝吉隆,數位知能,3,113-2,
多媒體創作,Multi-media Journalism ,林照真,數位知能,3,110-2,
電視新聞雜誌,Tv News Magazines ,王泰俐,數位知能,3,111-2,unable
新聞資料分析,Data Analysis in Journalism ,謝吉隆,數位知能,3,106-2,unable
新聞攝影,Photo Journalism,楊光昇,專業實作,3,113-1 ,
調查報導專題,Seminar in Investigative Journalism,林照真,專業實作,3,113-2,
財經新聞寫作,Business and Finance Reporting,方德琳,專業實作,3,112-1,
數位創新與媒體管理,Digital Innovation and Media Management,吳婉瑜、黃哲斌,專業實作,3,112-2,
英文新聞寫作,News Writing and Reporting,谷玲玲,專業實作,3,112-2,
科學傳播,Science Communication ,呂理德 ,專業實作,3,103-2,unable
環境傳播,Evironmental Communication ,呂理德 ,專業實作,3,107-1 ,unable
醫療新聞學,Medical Journalism ,李淑娟 ,專業實作,2,107-2,unable
電子媒體實習,Internship in Electronic Media ,王泰俐 ,專業實作,2,107-1 ,unable
平面媒體實習,Internship in Print Media ,谷玲玲 ,專業實作,2,105-1 ,unable
暑假媒體實習,Summer Media Practical Training ,林照真,專業實作,2,107-1,unable
虛擬/擴增實境在新聞與數位媒體上的應用,Augmented/ Virtual Reality Applications on Journalism,林照真,專業實作,3,106-2 ,unable
獨立媒體創作,Alternative Media Practice,王振濃,專業實作,3,110-1,unable
