s,cname,cname_en,offer_by,category,credit,last,period,active,114-1,114-2,115-1,115-2,info,description
1,大眾傳播理論,Mass Communication Theory,林麗雲、蔡蕙如,必修,3,113-1,每年,,1,,1,,,
2,新聞法律與倫理,Media Law and Ethics,洪貞玲、蘇慧婕,必修,3,113-1,每年,,1,,1,,,
3,採訪寫作一,Reporting and Writing (Ⅰ),林照真、李雪莉,必選修-實務,3,113-1,每年,,1,,1,,,
4,影像報導一,Television News Reporting (Ⅰ),詹怡宜,必選修-實務,3,113-1,每年,,1,,1,,,
5,新聞編輯與資訊設計,News Editing and Information Design,李彥甫,必選修-實務,3,113-2,每年,,1,,1,,,
6,採訪寫作二,Reporting and Writing (Ⅱ),劉力仁、梁玉芳、李志德、蕭富元,必選修-實務,3,113-2,每年,,,1,,1,,
7,影像報導二,Television News Reporting (Ⅱ),詹怡宜、鄭凱駿,必選修-實務,3,113-2,每年,,,1,,1,,
8,傳播研究方法,Communication Research Methods,劉好迪,必選修-方法,3,113-2,每年,,,1,,1,,相較於質化研究方法，會更重視量化研究方法，不僅是做研究，也是財經、醫療健康、資料新聞、甚至如媒體內NGO、調查中心的重要基礎。
9,質化研究方法,Qualitative Research,林麗雲,必選修-方法,3,113-1,每年,,1,,,1,因教師114-2休假調整開課時間,
10,資訊傳播政策專題,Seminar in Information and Communications Policy ,洪貞玲,理論/方法,3,104-2,專任教師決定,,,,,,,
11,媒介社會學專題,Seminar in Media Sociology ,蔡蕙如,理論/方法,3,112-1,已有替代性課程,,,,,,,
12,傳播政治經濟學,Political Economy of Communication ,洪貞玲,理論/方法,3,109-2,專任教師決定,,,,,,,
13,媒介心理學與實務,Media Psychology and Practice,王泰俐,理論/方法,3,113-1,隔年,,,,1,,每兩年開設一次,
14,社群媒介輿論分析,Social Media and Public Opinion Analysis ,謝吉隆,理論/方法,3,112-2,隔年,,,1,,,每兩年開設一次,
15,社群媒體與社會網絡分析,Social Media and Social Network Analysis,劉好迪,理論/方法,3,113-2,每學期,,1,1,1,1,,
16,網路時代的政治傳播,Political Communication in the Internet Age,劉好迪,理論/方法,3,113-1,每年,,1,,1,,,
17,數位新聞學研究,Digital Journalism Studies ,林照真,理論/方法,3,112-2,每年,,,,,,,
18,傳播與文化研究專題,Seminar on Cultural Studies and Communication,蔡蕙如,理論/方法,3,113-2,每年,,,1,,1,,
19,視覺文化與傳播,Visual Culture and Communication,蔡蕙如,理論/方法,3,113-1,每年,,1,,1,,,
20,新聞產業創新,News Industry Innovations,林麗雲、陳順孝,媒體公民意識,3,113-1,隔年,,,,1,,每兩年開設一次,
21,公民新聞專題,Seminar on Citizen Journalism ,洪貞玲,媒體公民意識,3,103-1,專任教師決定,,,,,,,
22,新聞與政治,Journalism and Politics,王泰俐,媒體公民意識,3,111-1,暫不開設,,,,,,,
23,多元文化論與傳播研究,Multicultrualism and Masscom Research,張錦華,媒體公民意識,3,113-2,暫不開設,,,,,,,
24,公共傳播專題,INFORMATION CAMPAIGNS ,谷玲玲,媒體公民意識,3,98-1,暫不開設,unable,,,,,,
25,全球化與傳播,Globalization and Communication,洪貞玲,國際視野,3,113-2,每年,,,1,,1,,
26,科技社會與傳播研究,Science and Technology for Communication Studies,蔡蕙如,國際視野,3,113-2,每年,,,1,,1,,
27,網絡新聞學,Networked Journalism ,劉好迪,國際視野,3,106-2 ,專任教師決定,,,,,,,
28,資訊科技與資訊社會,Information Technologies and Information Sociologies ,蔡蕙如,國際視野,3,112-2 ,已有替代性課程,,,,,,,
29,東亞新聞專題,Seminar on East Asia News ,郭崇倫,國際視野,3,112-1,暫不開設,unable,,,,,,
30,兩岸三地新聞專題,Seminar on Journalism of Greater China Region,張潔平,國際視野,3,111-2,轉為Mini-Course,unable,,,,,,
31,國際政治與兩岸關係專題,Seminar on International Politics and Cross-strait Relations ,明居正,國際視野,3,106-2,即將停開,unable,,,,,,
32,新聞資訊視覺化,Visual Journalism,林照真,數位知能,3,113-1,每年,,,,,,,
33,網頁設計與敘事,Web Design for Storytelling,謝吉隆,數位知能,3,113-1,每年,,1,,1,,,製作多媒體新聞專題的基礎。隨著生成式AI發展，大幅降低網頁與多媒體製作門檻，教學也隨之改變。建議有採編經驗或主題的狀況下選修，例如碩二上。
34,新聞資料處理與視覺呈現,Journalism Processing and Visualization,謝吉隆,數位知能,3,113-2,每年,,,1,,1,,"認識、操作、視覺化數據與文字資料。
使用R語言、容易與量化研究方法結合。
大量使用NYTimes案例教學。"
